ik ben, ich bin
jij bent, du bist
u bent, Sie sind
hij/zij is, er/sie ist
wij zijn, wir sind
jullie zijn, ihr seid
zij zijn, sie sind

ik heb, ich habe
jij hebt, du hast
u heeft, Sie haben
hij/zij heeft, er/sie hat
wij hebben, wir haben
jullie hebben, ihr habt
zij hebben, sie haben

ik kan, ich kann
jij kunt, du kannst
u kunt, Sie können
hij/zij kan, er/sie kann
wij kunnen, wir können
jullie kunnen, ihr könnt
zij kunnen, sie können

ik moet, ich muss
jij moet, du musst
u moet, Sie müssen
hij/zij moet, er/sie muss
wij moeten, wir müssen
jullie moeten, ihr müsst
zij moeten, sie müssen

ik mag, ich darf
jij mag, du darfst
u mag, Sie dürfen
hij/zij mag, er/sie darf
wij mogen, wir dürfen
jullie mogen, ihr dürft
zij mogen, sie dürfen

ik wil, ich will
jij wilt, du willst
u wilt, Sie wollen
hij/zij wil, er/sie will
wij willen, wir wollen
jullie willen, ihr wollt
zij willen, sie wollen
