nul, null
een, eins
twee, zwei
drie, drei
vier, vier
vijf, fünf
zes, sechs
zeven, sieben
acht, acht
negen, neun
tien, zehn
elf, elf
twaalf, zwölf
dertien, dreizehn
veertien, vierzehn
vijftien, fünfzehn
zestien, sechzehn
zeventien, siebzehn
achttien, achtzehn
negentien, neunzehn
twintig, zwanzig
eenentwintig, einundzwanzig
tweeéntwintig, zweiundzwanzig
dertig, dreißig
veertig, vierzig
vijftig, fünfzig
zestig, sechzig
zeventig, siebzig
tachtig, achtzig
negentig, neunzig
honderd, hunderd
zesendertig, sechsunddreißig
